seed,checkpoint_path,success_rate,mean_score,mean_return,invalid_action_rate,mean_steps,solved_count,total_episodes,initial_score_mean,score_min,score_max,eval_policy_mode,inner_unroll_n,episodic_latent,checker_kind,wall_time_sec
0,/home/buiksat/trm_bellman/checkpoints/m1_nomask_persistent_nc_seed0/rl_checkpoint_step_20000.pt,0.56,14.48,-2.360600000000001,0.0,10.94,28,50,9.0,10.0,16.0,greedy,2,False,feasibility,5.634599208831787
1,/home/buiksat/trm_bellman/checkpoints/m1_nomask_persistent_nc_seed1/rl_checkpoint_step_20000.pt,0.5,14.84,-3.1434000000000033,0.0,11.4,25,50,9.0,9.0,16.0,greedy,2,False,feasibility,5.86321496963501
2,/home/buiksat/trm_bellman/checkpoints/m1_nomask_persistent_nc_seed2/rl_checkpoint_step_20000.pt,0.68,14.94,0.2631999999999969,0.0,9.82,34,50,9.0,10.0,16.0,greedy,2,False,feasibility,5.0964555740356445
3,/home/buiksat/trm_bellman/checkpoints/m1_nomask_persistent_nc_seed3/rl_checkpoint_step_20000.pt,0.5,15.04,-3.0004000000000044,0.0,11.62,25,50,9.0,12.0,16.0,greedy,2,False,feasibility,6.191716909408569
4,/home/buiksat/trm_bellman/checkpoints/m1_nomask_persistent_nc_seed4/rl_checkpoint_step_20000.pt,0.64,15.14,-0.31740000000000257,0.0,10.32,32,50,9.0,10.0,16.0,greedy,2,False,feasibility,5.4474804401397705
5,/home/buiksat/trm_bellman/checkpoints/m1_nomask_persistent_nc_seed5/rl_checkpoint_step_20000.pt,0.7,15.48,1.0455999999999965,0.0,10.04,35,50,9.0,12.0,16.0,greedy,2,False,feasibility,5.000312328338623
6,/home/buiksat/trm_bellman/checkpoints/m1_nomask_persistent_nc_seed6/rl_checkpoint_step_20000.pt,0.74,15.38,1.7269999999999976,0.0,9.48,37,50,9.0,11.0,16.0,greedy,2,False,feasibility,4.681893825531006
7,/home/buiksat/trm_bellman/checkpoints/m1_nomask_persistent_nc_seed7/rl_checkpoint_step_20000.pt,0.42,14.0,-5.364200000000003,0.0,12.16,21,50,9.0,10.0,16.0,greedy,2,False,feasibility,5.851109981536865
8,/home/buiksat/trm_bellman/checkpoints/m1_nomask_persistent_nc_seed8/rl_checkpoint_step_20000.pt,0.38,13.9,-6.216000000000008,0.0,12.7,19,50,9.0,9.0,16.0,greedy,2,False,feasibility,6.3732850551605225
9,/home/buiksat/trm_bellman/checkpoints/m1_nomask_persistent_nc_seed9/rl_checkpoint_step_20000.pt,0.62,15.0,-0.7952000000000035,0.0,10.36,31,50,9.0,10.0,16.0,greedy,2,False,feasibility,5.559572219848633
