alpha	gap	penalty_decomp	penalty_exact
0.05	0.00111634371714	0.952831719882	0.241120367797
0.1	0.00261463821886	2.3147481256	0.89132542143
0.15	0.00443704574666	4.08574921715	1.9506151609
0.2	0.00652811222383	6.26583499453	3.4189895862
0.25	0.00883468255849	8.85500545776	5.29644869733
0.3	0.0113058271449	11.8532606068	7.58299249431
0.35	0.0138927794007	15.2606004417	10.2786209771
0.4	0.0165488840604	19.0770249624	13.3833341458
0.45	0.0192295558291	23.302534169	16.8971320002
0.5	0.0218922478838	27.9371280614	20.8200145405
0.55	0.0244964295947	32.9808066396	25.1519817667
0.6	0.0270035727286	38.4335699037	29.8930336787
0.65	0.029377145286	44.2954178536	35.0431702765
0.7	0.0315826120246	50.5663504893	40.6023915601
0.75	0.0335874406274	57.2463678109	46.5706975296
0.8	0.0353611123923	64.3354698183	52.9480881849
0.85	0.0368751362496	71.8336565115	59.7345635261
0.9	0.0381030648636	79.7409278906	66.9301235531
0.95	0.039020511537	88.0572839555	74.5347682659
1	0.0396051666226	96.7827247062	82.5484976645
